Constitui constituir VMIP3S0 0.944444 01647229-v:0/02621395-v:0
infração infração NCFS000 1 00770270-n:0
disciplinar disciplinar VMN0000 0.529581 02553428-v:0
: : Fd 1 -
exercer exercer VMN0000 0.529581 01095218-v:0/01166093-v:0/02204564-v:0/02568672-v:0
a o DA0FS0 0.675415 -
profissão profissão NCFS000 1 00582388-n:0/00583246-n:0/00606370-n:0/00609953-n:0/06685040-n:0
, , Fc 1 -
quando quando RG 0.998992 -
impedido impedir VMP00SM 0.560418 00236289-v:0/00520357-v:0/01147060-v:0/02450505-v:0/02451370-v:0/02452885-v:0
de de SP 1 -
fazê fazer VMN0000 1 00012267-v:0/00120316-v:0/00665476-v:0/00698256-v:0/00767334-v:0/01438902-v:0/01619014-v:0/01621555-v:0/01627355-v:0/01628197-v:0/01629000-v:0/01629589-v:0/01640207-v:0/01645601-v:0/01649024-v:0/01685313-v:0/01712704-v:0/01714208-v:0/01719921-v:0/01738774-v:0/01739814-v:0/01752495-v:0/01752884-v:0/01755504-v:0/02176268-v:0/02211948-v:0/02355596-v:0/02367363-v:0/02374764-v:0/02582921-v:0/02599636-v:0/02621133-v:0/02745332-v:0
o o PP3MSA0 1 -
, , Fc 1 -
ou ou CC 1 -
facilitar facilitar VMN0000 0.529581 00518395-v:0/01757338-v:0
, , Fc 1 -
por por SP 1 -
qualquer qualquer DI0CS0 0.881232 -
meio meio NCMS000 0.671123 00172710-n:0/05868272-n:0/08567235-n:0/13736799-n:0/13920169-n:0/14513944-n:0/15266685-n:0
, , Fc 1 -
o o DA0MS0 0.950254 -
seu seu DP3MSS 0.957305 -
exercício exercício NCMS000 1 00729919-n:0/00894552-n:0/15203120-n:0
a a SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
não não RN 0.99985 00024073-r:0
inscritos inscrever VMP00PM 0.892483 01097309-v:0/02471087-v:0/02471327-v:0
, , Fc 1 -
proibidos proibir VMP00PM 0.972958 00795863-v:0/00796392-v:0/00796588-v:0/02214190-v:0/02452885-v:0/02493666-v:0/01402498-a:0/01761375-a:0
ou ou CC 1 -
impedidos impedir VMP00PM 0.422003 00236289-v:0/00520357-v:0/01147060-v:0/02450505-v:0/02451370-v:0/02452885-v:0
; ; Fx 1 -
manter manter VMN0000 0.533333 00117985-v:0/00607000-v:0/00732552-v:0/00736586-v:0/01016778-v:0/01017643-v:0/01065877-v:0/01151753-v:0/01184625-v:0/02202384-v:0/02204564-v:0/02219094-v:0/02225492-v:0/02638845-v:0/02679899-v:0/02681795-v:0
sociedade sociedade NCFS000 1 06526291-n:0/07966140-n:0/08049401-n:0/08227214-n:0/13931627-n:0
