Compete competir VMIP3S0 0.999479 01072262-v:0.000496693/02594674-v:0.000325834/01122194-v:0.000291337/02672187-v:0.0002695
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Conselho_Federal conselho_federal NP00O00 1 -
: : Fd 1 -
dar dar VMN0000 0.332597 00339934-v:0.000417001/00712135-v:0.00023057/02317094-v:0.000203693/02255462-v:0.000174091/02262278-v:0.000163696/02308741-v:0.000154466/02263692-v:0.000138575/01733477-v:0.000131453/02627363-v:0.00011212/01652139-v:0.000102825/02199590-v:9.70496e-05/00732224-v:9.46131e-05/02358034-v:8.34884e-05/02609764-v:8.29001e-05/02200686-v:7.73502e-05/02310328-v:7.00584e-05/02339171-v:6.40377e-05/02230772-v:6.27103e-05/02235229-v:6.05956e-05/01060494-v:5.69723e-05/02293321-v:5.00053e-05/02309165-v:4.81952e-05/02358327-v:4.48606e-05/01060746-v:4.46949e-05/01629000-v:4.18186e-05/02229055-v:3.88016e-05/02343595-v:3.83668e-05/02263027-v:3.64935e-05/02296153-v:3.62859e-05/02235842-v:3.44734e-05/02686471-v:3.40929e-05/01989053-v:3.3554e-05/02291708-v:3.26718e-05/00748616-v:3.24328e-05/02319669-v:3.12919e-05/02309374-v:2.79166e-05/01180351-v:2.7771e-05/02316868-v:2.76539e-05/02357873-v:2.65209e-05/00888009-v:2.6499e-05/01647672-v:2.61377e-05/02310007-v:2.48394e-05/01629403-v:2.42584e-05/02108791-v:2.41599e-05/01716283-v:2.39825e-05/02359553-v:2.3611e-05/01060317-v:2.35729e-05/02200498-v:2.24302e-05/01175810-v:2.22924e-05/02325272-v:2.21589e-05/01401115-v:2.14993e-05/02562901-v:1.97943e-05
cumprimento cumprimento NCMS000 0.97619 01132864-n:0.000290833/00097504-n:0.000234803/06630017-n:0.000162514/06695227-n:0.0001554/01127019-n:0.000139814/00062451-n:0.000129241/01127379-n:0.000124387/06630627-n:0.000118724/07532112-n:0.000117883/00061917-n:0.000113108
efetivo efetivo AQ0MS00 0.542381 00043765-a:0.000359678/00834198-a:0.000320756/00832784-a:0.000289232/00044132-a:0.000288865
a a SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
finalidades finalidade NCFP000 1 05982152-n:0.000547581/05980875-n:0.000509194/04754440-n:0.000463737
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
OAB oab NP00O00 1 -
; ; Fx 1 -
representar representar VMN0000 0.328 02620587-v:0.000328661/00943837-v:0.000250306/02137132-v:0.000248396/02541509-v:0.000177573/00836236-v:0.000134522/02699497-v:0.000120898/01688771-v:0.000116138/01719302-v:0.000113019/01711445-v:0.00010896/02581675-v:0.000103926/01686132-v:0.000101604/01719921-v:9.8958e-05/00988028-v:8.44174e-05/01688256-v:6.78933e-05/02723733-v:6.28046e-05/02697725-v:6.19811e-05/01723690-v:6.14338e-05/00013615-v:6.08591e-05/02541921-v:6.07493e-05/02740352-v:6.01657e-05/02698443-v:5.80919e-05/01716882-v:5.74476e-05/02742482-v:4.48944e-05
, , Fc 1 -
em em SP 1 -
juízo juízo NCMS000 1 01187810-n:0.000217747/00874067-n:0.000196388/05615500-n:0.000175017/06551784-n:0.000172958/05837957-n:0.000168634/01195867-n:0.000163239/05614175-n:0.000155586/04892084-n:0.000152787
ou ou CC 1 -
fora fora RG 0.488858 00110919-r:0.00077245/00029037-r:0.000539104
de de SP 1 -
ele ele PP3MS00 1 -
, , Fc 1 -
os o DA0MP0 0.958022 -
interesses interesse NCMP000 0.9832 05143077-n:0.000347457/05671325-n:0.000327873/05682950-n:0.000307232/05159725-n:0.000228913/05143300-n:0.000206581/13286801-n:0.000170991/05670710-n:0.000161766/13318584-n:0.000155562/05192451-n:0.000137681/05853636-n:0.000112946
coletivos coletivo AQ0MP00 0.538792 00466808-a:0.000764379/00298293-a:0.000694261/02112701-a:0.000681843
ou ou CC 1 -
individuais individual AQ0CP00 0.97619 00493460-a:0.000570707/01767329-a:0.000369982/01104026-a:0.000316607/02215087-a:0.000139675/00160573-a:0.000132445/02153174-a:0.000125538/01768969-a:0.000125091/02110778-a:0.000118819/00729246-a:0.000115573
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
advogados advogado NCMP000 0.556849 10249950-n:0.000699966/09774783-n:0.000319906/09775663-n:0.000280354/10623175-n:0.000261668/09840963-n:0.000241512
; ; Fx 1 -
velar velar VMN0000 0.529581 02144835-v:0.000379474/00020259-v:0.000294797/02167435-v:0.000282808/01483247-v:0.000280294
por por SP 1 -
a o DA0FS0 1 -
dignidade dignidade NCFS000 1 04886881-n:0.000321244/04910684-n:0.000311416/14431902-n:0.000311311/10748620-n:0.000272698
, , Fc 1 -
independência independência NCFS000 1 13994148-n:0.000470789/14001031-n:0.000378403/07474006-n:0.000342789
, , Fc 1 -
prerrogativas prerrogativa NCFP000 1 05178715-n:0.00113001
e e CC 0.999951 -
valorização valorização NCFS000 1 05733583-n:0.00120551
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
advocacia advocacia NCFS000 1 00611143-n:0.000594749/00589217-n:0.000515054
; ; Fx 1 -
representar representar VMN0000 0.328 02620587-v:0.000328661/00943837-v:0.000250306/02137132-v:0.000248396/02541509-v:0.000177573/00836236-v:0.000134522/02699497-v:0.000120898/01688771-v:0.000116138/01719302-v:0.000113019/01711445-v:0.00010896/02581675-v:0.000103926/01686132-v:0.000101604/01719921-v:9.8958e-05/00988028-v:8.44174e-05/01688256-v:6.78933e-05/02723733-v:6.28046e-05/02697725-v:6.19811e-05/01723690-v:6.14338e-05/00013615-v:6.08591e-05/02541921-v:6.07493e-05/02740352-v:6.01657e-05/02698443-v:5.80919e-05/01716882-v:5.74476e-05/02742482-v:4.48944e-05
, , Fc 1 -
com com SP 1 -
exclusividade exclusividade NCFS000 1 04889337-n:0.00105962
, , Fc 1 -
os o DA0MP0 0.958022 -
advogados advogado NCMP000 0.556849 10249950-n:0.000699966/09774783-n:0.000319906/09775663-n:0.000280354/10623175-n:0.000261668/09840963-n:0.000241512
brasileiros brasileiro AQ0MP00 0.567364 02966829-a:0.00113392
em em SP 1 -
os o DA0MP0 1 -
órgãos órgão NCMP000 1 05297523-n:0.000389953/10638385-n:0.000334073/03854065-n:0.000324374/03273551-n:0.000289805/06595056-n:0.000276575/13087625-n:0.000273929/03494537-n:0.000271534/08349350-n:0.000271465
e e CC 0.999951 -
eventos evento NCMP000 1 00029378-n:0.000793356/07283608-n:0.000399571/07307477-n:0.000299498/07290761-n:0.00029046
internacionais internacional AQ0CP00 0.978495 01568375-a:0.000632702/01037885-a:0.000547756
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
advocacia advocacia NCFS000 1 00611143-n:0.000594749/00589217-n:0.000515054
; ; Fx 1 -
editar editar VMN0000 0.529581 00967625-v:0.000617036/01745722-v:0.000427585/00968038-v:0.000397901
e e CC 0.999951 -
alterar alterar VMN0000 0.529581 00126264-v:0.000779292/00169806-v:0.00031702/00123170-v:0.000304038/00171127-v:0.000284472/00109660-v:0.000274488/00550117-v:0.000120551/01787955-v:0.00011415/02579447-v:0.000107593/00554298-v:9.61182e-05/00996328-v:9.376e-05/01770501-v:9.3625e-05/00488430-v:8.56258e-05/01667132-v:8.4225e-05
o o DA0MS0 0.950254 -
Regulamento_Geral regulamento_geral NP00V00 1 -
, , Fc 1 -
o o DA0MS0 0.950254 -
Código_de_Ética código_de_ética NP00V00 1 -
e e CC 0.999951 -
Disciplina disciplina NP00V00 1 05996646-n:0.000582008/05726596-n:0.000549431/01132864-n:0.000290833/05662876-n:0.000244189/04881623-n:0.000211596/00893836-n:0.000203152
, , Fc 1 -
e e CC 0.999951 -
os o DA0MP0 0.958022 -
Provimentos provimentos NP00O00 1 -
que que CS 0.398036 -
julgar julgar VMN0000 0.529581 00681429-v:0.000705068/00631737-v:0.000626851/00670261-v:0.00058984/00689344-v:0.000226293/00672433-v:0.000166642/00971650-v:0.000160139/02501278-v:0.00015168/00822367-v:0.000136548/02166460-v:0.000133977/00693780-v:0.000122472/02500902-v:0.000119293/00672277-v:9.77467e-05/00971999-v:9.33443e-05/01637166-v:8.02836e-05/00828374-v:7.92107e-05
necessários necessário AQ0MP00 1 01580050-a:0.000361797/00903894-a:0.000246785/00343552-a:0.000225971/01580775-a:0.000225164/01276150-a:0.000225065
; ; Fx 1 -
adotar adotar VMN0000 0.529581 02346724-v:0.000238161/01721754-v:0.000238032/00413195-v:0.000235265/02346895-v:0.000222393/00602112-v:0.000215358
medidas medida NCFP000 0.982301 07260623-n:0.000385303/05098942-n:0.000198731/00996969-n:0.000192911/00033615-n:0.000161093/13583724-n:0.000158162/05098311-n:0.00011738/13941125-n:0.00011672/07094093-n:0.000111894/09385911-n:0.00010989/05816790-n:0.000108496/00174412-n:0.000106735
para para SP 0.999444 -
assegurar assegurar VMN0000 0.330233 00890590-v:0.000152881/01340439-v:0.000147968/00896803-v:0.000142893/00662589-v:0.000130563/00884011-v:0.000120245/00891216-v:0.000116414/02251065-v:0.000109561/00891936-v:0.000107812/01019643-v:0.000103419/01289492-v:9.71747e-05/01306425-v:9.16701e-05/00221718-v:8.62136e-05
o o DA0MS0 0.950254 -
regular regular AQ0CS00 0.611111 02301560-a:0.000131538/00909545-a:0.000118491/01959294-a:0.000107104/00638501-a:8.47601e-05/01067003-a:8.39223e-05/01961937-a:8.25316e-05/01970777-a:8.23839e-05/00489863-a:8.19749e-05/02302187-a:8.19628e-05/01673061-a:8.18271e-05/02296632-a:8.098e-05/00910101-a:7.96098e-05/00487525-a:7.61357e-05/01674604-a:7.46142e-05
funcionamento funcionamento NCMS000 1 14008806-n:0.000675732/13525549-n:0.000654503
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
Conselhos_Seccionais conselhos_seccionais NP00O00 1 -
; ; Fx 1 -
intervir intervir VMN0000 0.533333 02188848-v:0.00116079
em em SP 1 -
os o DA0MP0 1 -
Conselhos_Seccionais conselhos_seccionais NP00O00 1 -
, , Fc 1 -
onde onde RG 0.980752 -
e e CC 0.999951 -
quando quando RG 0.998992 -
constatar constatar VMN0000 0.529581 00665886-v:0.000702057/02533282-v:0.000593635
grave grave AQ0CS00 0.927273 00650577-a:0.00012754/02118379-a:0.000123542/00689336-a:0.000106324/02119213-a:9.65596e-05/00651039-a:9.13517e-05/00580039-a:8.32852e-05/02123314-a:8.27181e-05/01513050-a:8.13353e-05/01215421-a:8.01227e-05/01333477-a:7.77439e-05/01129185-a:7.73363e-05/00651451-a:7.71113e-05/01301316-a:7.54358e-05/01279611-a:7.39906e-05/02322512-a:7.15637e-05
violação violação NCFS000 1 00770543-n:0.000155037/00733483-n:0.00014833/00770270-n:0.000147809/00773402-n:0.000139978/00774107-n:0.000137304/07313814-n:0.000128447/01170813-n:0.000128395/00746232-n:0.000124834/00966384-n:0.000120239
de de SP 1 -
esta este DD0FS0 0.877868 - este PD0FS00 0.122132 -
lei lei NCFS000 1 08441203-n:0.00239924/05726596-n:0.000549431/05846054-n:0.000485786/06532095-n:0.000443188/06564387-n:0.000435932/06532330-n:0.000374975/05872982-n:0.00016178/08209687-n:0.00015605/08456347-n:0.000116274/06478582-n:0.000108649/05870916-n:0.000108419
ou ou CC 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
regulamento regulamento NCMS000 0.97619 05846054-n:0.000485786/06537951-n:0.000422649/80000908-n:0.000371705/14443434-n:0.000233569/00805034-n:0.000232763
geral geral AQ0CS00 0.694581 01101391-a:0.000304884/00489108-a:0.000212191/00526062-a:0.000163038/00487198-a:0.000155724/00527188-a:0.000148499/01426077-a:0.000146429/00783840-a:0.000143815/01839663-a:0.000132816
; ; Fx 1 -
cassar cassar VMN0000 0.529581 00799798-v:0.00129806
ou ou CC 1 -
modificar modificar VMN0000 0.529581 00126264-v:0.000779292/00169806-v:0.00031702/00123170-v:0.000304038/00171127-v:0.000284472/00060477-v:0.000191356/00555447-v:0.000186265
, , Fc 1 -
de de SP 1 -
ofício ofício NCMS000 1 00582388-n:0.000512894/00606370-n:0.000379503/13945102-n:0.000348345/00720565-n:0.000290462/00719705-n:0.000215214/08436562-n:0.000182484/01033458-n:0.000175157
ou ou CC 1 -
mediante mediante SP 0.681897 -
representação representação NCFS000 1 14000403-n:0.000338124/00548326-n:0.000206354/00721660-n:0.000187137/06891493-n:0.000163662/01217499-n:0.000161833/05767733-n:0.000154953/04076846-n:0.000147463/00548802-n:0.000143148/05766984-n:0.000120096/00898518-n:0.000117672/07201804-n:0.00011115
, , Fc 1 -
qualquer qualquer DI0CS0 0.881232 -
ato ato NCMS000 0.914009 00037396-n:0.000997411/00030358-n:0.000904356/06532095-n:0.000443188/06545137-n:0.000407102/07447261-n:0.000327175/00550341-n:0.000315433/07009640-n:0.000310342
, , Fc 1 -
de de SP 1 -
órgão órgão NCMS000 1 05297523-n:0.000389953/10638385-n:0.000334073/03854065-n:0.000324374/03273551-n:0.000289805/06595056-n:0.000276575/13087625-n:0.000273929/03494537-n:0.000271534/08349350-n:0.000271465
ou ou CC 1 -
autoridade autoridade NCFS000 1 05196582-n:0.0005199/05697363-n:0.000253338/08337324-n:0.000245643/09623038-n:0.000231229/08050678-n:0.000191964/09824609-n:0.000180764/09824361-n:0.000158345/04763293-n:0.000155725/06411592-n:0.000129461
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
OAB oab NP00O00 1 -
, , Fc 1 -
contrário contrário NCMS000 0.916667 13858604-n:0.000259136/10379620-n:0.000233291/09773245-n:0.000232874/10098710-n:0.000199907/13858833-n:0.000192914/13858270-n:0.000188312
a a SP 0.313151 -
esta este DD0FS0 0.877868 -
