Compete competir VMIP3S0 0.999479 01072262-v:0/01122194-v:0/02594674-v:0/02672187-v:0
privativamente privativo RG 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Conselho_Seccional conselho_seccional NP00000 1 -
: : Fd 1 -
editar editar VMN0000 0.529581 00967625-v:0/00968038-v:0/01745722-v:0
seu seu DP3MSS 0.957305 -
regimento regimento NCMS000 0.914011 08050678-n:0/08213817-n:0/13775093-n:0
interno interno AQ0MS00 0.475 00463784-a:0/00948670-a:0/00948985-a:0/00950272-a:0/00951831-a:0/00952867-a:0/01038102-a:0/01038332-a:0/01038808-a:0/01346978-a:0/01348835-a:0/01692786-a:0/01693799-a:0/01859571-a:0/01859801-a:0
e e CC 0.999951 -
resoluções resolução NCFP000 1 00153809-n:0/00162632-n:0/00163047-n:0/00180228-n:0/04861486-n:0/04864200-n:0/05789089-n:0/05838176-n:0/05982152-n:0/06511874-n:0/06743506-n:0/07028221-n:0/07177924-n:0/07293546-n:0/07420217-n:0/11505769-n:0
; ; Fx 1 -
criar criar VMN0000 0.331765 00056334-v:0/01186844-v:0/01429455-v:0/01430447-v:0/01617192-v:0/01621555-v:0/01632411-v:0/01633343-v:0/01633825-v:0/01640207-v:0/01640550-v:0/01647229-v:0/01685313-v:0/01738597-v:0/01738774-v:0/01753465-v:0/01753596-v:0/01753788-v:0/02539788-v:0/02540569-v:0/02598483-v:0
as o DA0FP0 0.974798 -
Subseções subseções NP00000 1 -
e e CC 0.999951 -
a o DA0FS0 0.675415 -
Caixa_de_Assistência_dos_Advogados caixa_de_assistência_dos_advogados NP00000 1 -
; ; Fx 1 -
julgar julgar VMN0000 0.529581 00631737-v:0/00670261-v:0/00672277-v:0/00672433-v:0/00681429-v:0/00689344-v:0/00693780-v:0/00822367-v:0/00828374-v:0/00971650-v:0/00971999-v:0/01637166-v:0/02166460-v:0/02500902-v:0/02501278-v:0
, , Fc 1 -
em em SP 1 -
grau grau NCMS000 1 05093890-n:0/05861317-n:0/08238463-n:0/13584918-n:0/13611207-n:0/13612319-n:0/13714184-n:0/13939892-n:0/14428160-n:0/14429608-n:0
de de SP 1 -
recurso recurso NCMS000 0.914011 00177448-n:0/01185611-n:0/01208597-n:0/05154517-n:0/05154676-n:0/05154908-n:0/05155123-n:0/07068844-n:0/07246932-n:0/13331778-n:0
, , Fc 1 -
as o DA0FP0 0.974798 -
questões questão NCFP000 1 04757522-n:0/05688397-n:0/05814291-n:0/06783768-n:0/06784003-n:0/07184149-n:0/07193184-n:0/07193596-n:0/07196682-n:0
decididas decidir VMP00PF 0.992518 00634472-v:0/00679389-v:0/00697589-v:0/00698855-v:0/00699485-v:0/00699626-v:0/00701877-v:0/00703708-v:0/00763399-v:0/00701178-a:0
por por SP 1 -
seu seu DP3MSS 0.957305 -
Presidente presidente NP00000 1 00597265-n:0/10467179-n:0/10467395-n:0/10468559-n:0/10468750-n:0/10468962-n:0/10469346-n:0
, , Fc 1 -
por por SP 1 -
sua seu DP3FSS 0.929764 -
diretoria diretoria NCFS000 1 08380768-n:0
, , Fc 1 -
por por SP 1 -
o o DA0MS0 1 -
Tribunal_de_Ética tribunal_de_ética NP00000 1 -
e e CC 0.999951 -
Disciplina disciplina NP00000 1 00893836-n:0/01132864-n:0/04881623-n:0/05662876-n:0/05726596-n:0/05996646-n:0
, , Fc 1 -
por por SP 1 -
as o DA0FP0 1 -
diretorias diretoria NCFP000 1 08380768-n:0
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
Subseções subseções NP00000 1 -
e e CC 0.999951 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Caixa_de_Assistência_dos_Advogados caixa_de_assistência_dos_advogados NP00000 1 -
; ; Fx 1 -
fiscalizar fiscalizar VMN0000 0.529581 01844048-v:0/02131279-v:0
a o DA0FS0 0.675415 -
aplicação aplicação NCFS000 1 00694990-n:0/00712225-n:0/00947128-n:0/00949134-n:0/01127019-n:0/04865502-n:0/06570110-n:0
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
receita receita NCFS000 0.819323 06788565-n:0/06788785-n:0/13255145-n:0/13260190-n:0
, , Fc 1 -
apreciar apreciar VMN0000 0.529581 00315605-v:0/00592341-v:0/00681429-v:0/00691665-v:0/00694068-v:0/00892315-v:0/00892467-v:0/01182152-v:0/01776214-v:0/01805982-v:0/02256109-v:0
o o DA0MS0 0.950254 -
