Revogam revogar VMIP3P0 1 00799798-v:0/02477334-v:0/02478059-v:0/02478584-v:0
se se PP3CN00 1 -
as o DA0FP0 0.974798 -
disposições disposição NCFP000 1 00043609-n:0/04623612-n:0/04644512-n:0/04644512-n:0/04835724-n:0
em em SP 1 -
contrário contrário NCMS000 0.916667 13858270-n:0/13858604-n:0
, , Fc 1 -
especialmente especial AQ0CS 1 00488187-a:0/01104026-a:0/01678729-a:0/01853228-a:0/02278011-a:0
a a SP 0.313151 -
Lei lei NP00V00 1 05846054-n:0/05872982-n:0/06532330-n:0/08209687-n:0/08441203-n:0/08456347-n:0
nº nº NCMS000 1 -
4.215 4215 Z 1 -
, , Fc 1 -
de de SP 1 -
27_de_abril_de_1963 [??:27/4/1963:??.??:??] W 1 -
, , Fc 1 -
a o DA0FS0 0.675415 -
Lei lei NP00V00 1 05846054-n:0/05872982-n:0/06532330-n:0/08209687-n:0/08441203-n:0/08456347-n:0
nº nº NCMS000 1 -
5.390 5390 Z 1 -
, , Fc 1 -
de de SP 1 -
23_de_fevereiro_de_1968 [??:23/2/1968:??.??:??] W 1 -
, , Fc 1 -
o o DA0MS0 0.950254 -
Decreto-Lei decreto-lei NP00V00 1 -
nº nº NCMS000 1 -
505 505 Z 1 -
, , Fc 1 -
de de SP 1 -
18_de_março_de_1969 [??:18/3/1969:??.??:??] W 1 -
, , Fc 1 -
a o DA0FS0 0.675415 -
Lei lei NP00V00 1 05846054-n:0/05872982-n:0/06532330-n:0/08209687-n:0/08441203-n:0/08456347-n:0
nº nº NCMS000 1 -
5.681 5681 Z 1 -
, , Fc 1 -
de de SP 1 -
20_de_julho_de_1971 [??:20/7/1971:??.??:??] W 1 -
, , Fc 1 -
a o DA0FS0 0.675415 -
Lei lei NP00V00 1 05846054-n:0/05872982-n:0/06532330-n:0/08209687-n:0/08441203-n:0/08456347-n:0
nº nº NCMS000 1 -
5.842 5842 Z 1 -
, , Fc 1 -
de de SP 1 -
6_de_dezembro_de_1972 [??:6/12/1972:??.??:??] W 1 -
, , Fc 1 -
a o DA0FS0 0.675415 -
Lei lei NP00V00 1 05846054-n:0/05872982-n:0/06532330-n:0/08209687-n:0/08441203-n:0/08456347-n:0
nº nº NCMS000 1 -
5.960 5960 Z 1 -
, , Fc 1 -
de de SP 1 -
10_de_dezembro_de_1973 [??:10/12/1973:??.??:??] W 1 -
, , Fc 1 -
a o DA0FS0 0.675415 -
Lei lei NP00V00 1 05846054-n:0/05872982-n:0/06532330-n:0/08209687-n:0/08441203-n:0/08456347-n:0
nº nº NCMS000 1 -
6.743 6743 Z 1 -
, , Fc 1 -
de de SP 1 -
5_de_dezembro_de_1979 [??:5/12/1979:??.??:??] W 1 -
a o DA0FS0 0.675415 -
Lei lei NP00V00 1 05846054-n:0/05872982-n:0/06532330-n:0/08209687-n:0/08441203-n:0/08456347-n:0
nº nº NCMS000 1 -
6.884 6884 Z 1 -
, , Fc 1 -
de de SP 1 -
9_de_dezembro_de_1980 [??:9/12/1980:??.??:??] W 1 -
, , Fc 1 -
a o DA0FS0 0.675415 -
Lei lei NP00V00 1 05846054-n:0/05872982-n:0/06532330-n:0/08209687-n:0/08441203-n:0/08456347-n:0
nº nº NCMS000 1 -
6.994 6994 Z 1 -
, , Fc 1 -
de de SP 1 -
26_de_maio_de_1982 [??:26/5/1982:??.??:??] W 1 -
, , Fc 1 -
mantidos manter VMP00PM 0.992518 00117985-v:0/00607000-v:0/00732552-v:0/00736586-v:0/01016778-v:0/01017643-v:0/01065877-v:0/01151753-v:0/01184625-v:0/02202384-v:0/02204564-v:0/02219094-v:0/02225492-v:0/02638845-v:0/02679899-v:0/02681795-v:0/00737801-a:0
os o DA0MP0 0.958022 -
efeitos efeito NCMP000 1 00157081-n:0/11410625-n:0/11414411-n:0/11414608-n:0
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 06831177-n:0
Lei lei NP00V00 1 05846054-n:0/05872982-n:0/06532330-n:0/08209687-n:0/08441203-n:0/08456347-n:0
nº nº NCMS000 1 -
7.346 7346 Z 1 -
, , Fc 1 -
de de SP 1 -
22_de_julho_de_1985 [??:22/7/1985:??.??:??] W 1 -
. . Fp 1 -

